"clave_institucion","clave_producto_hipotecario","producto_hipotecario","clave"
"040014","9749","Hipoteca Inteligente Santander Adquisición con Apoyo INFONAVIT Pagos Variables Seguro Mensual","0400149749"
"040014","9750","Hipoteca Inteligente Santander COFINAVIT Pagos Variables Seguro Mensual","0400149750"
"040014","9751","Hipoteca Inteligente Seguro Mensual. FOVISSSTE","0400149751"
"040014","9752","Hipoteca Inteligente Santander Sustitución Pagos Variables Seguro Mensual","0400149752"
"040014","9753","Hipoteca Inteligente Santander Remodelación y ampliación Pagos Variables Seguro Mensual","0400149753"
"040014","9754","Hipoteca Inteligente Santander Liquidez Pagos Variables Seguro Mensual","0400149754"
"040014","9755","Porción ""B"" Hipoteca Inteligente. COFINAVIT","0400149755"
"040014","9810","Hipoteca 10 x 1000 Mejora de Condiciones Pagos Congelados Seguro Financiado","0400149810"
"040014","9811","Hipoteca 10x1000 Mejora de Condiciones Pagos Crecientes Seguro Financiado","0400149811"
"040014","9812","Hipoteca Inteligente Santander Mejora de Condiciones Pagos Variables Seguro Financiado","0400149812"
"040014","9813","Hipoteca Santander Red Salud Pagos Congelados Seguro Financiado","0400149813"
"040014","9814","Hipoteca Santander Red Salud Pagos Congelados Seguro Mensual","0400149814"
"040014","9815","Hipoteca 10 x 1000 Mejora de Condiciones Pagos Congelados Seguro Mensual","0400149815"
"040014","9816","Hipoteca 10x1000 Mejora de Condiciones Pagos Crecientes Seguro Mensual","0400149816"
"040014","9817","Hipoteca Inteligente Santander Mejora de Condiciones Pagos Variables Seguro Mensual","0400149817"
"040014","9818","Hipoteca Santander Premier Mejora de Condiciones Pagos Crecientes Seguro Financiado.Tasa 8.49","0400149818"
